Slice,xc,yc,intdens,intsub,bgmedian,maxint,area,x,y,sqintdens,sqintsub,sqarea,threshold,animal,redFlag,useTracking
67,370.489,773.489,6703.000,2275.000,492.000,864.000,9.000,370.500,773.500,22494.000,4782.000,36.000,680,13,0,1
68,370.503,773.219,5591.000,2147.000,492.000,973.000,7.000,370.500,773.214,22610.000,4898.000,36.000,680,13,0,1
69,370.602,773.607,6094.000,2142.000,494.000,917.000,8.000,370.625,773.625,22418.000,4634.000,36.000,680,13,0,1
70,370.515,773.491,5567.000,2109.000,494.000,989.000,7.000,370.500,773.500,22750.000,4966.000,36.000,680,13,0,1
71,370.614,773.601,6159.000,2223.000,492.000,867.000,8.000,370.625,773.625,22738.000,5026.000,36.000,680,13,0,1
72,370.327,773.479,7533.000,2613.000,492.000,835.000,10.000,370.300,773.500,22633.000,4921.000,36.000,680,13,0,1
73,370.516,773.501,6969.000,2559.000,490.000,904.000,9.000,370.500,773.500,22663.000,5023.000,36.000,680,13,0,1
74,370.496,773.229,5487.000,2057.000,490.000,920.000,7.000,370.500,773.214,22529.000,4889.000,36.000,680,13,0,1
75,370.381,773.360,6119.000,2167.000,494.000,855.000,8.000,370.375,773.375,22517.000,4733.000,36.000,680,13,0,1
76,370.500,773.509,6755.000,2318.000,493.000,868.000,9.000,370.500,773.500,22418.000,4670.000,36.000,680,13,0,1
77,370.821,773.533,5506.000,2083.000,489.000,856.000,7.000,370.786,773.500,22469.000,4865.000,36.000,680,13,0,1
78,371.305,773.692,4683.000,1731.000,492.000,867.000,6.000,371.333,773.667,22420.000,4708.000,36.000,680,13,0,1
79,370.988,773.518,6204.000,2284.000,490.000,868.000,8.000,371.000,773.500,22683.000,5043.000,36.000,680,13,0,1
80,370.804,773.525,5512.000,2061.000,493.000,887.000,7.000,370.786,773.500,22678.000,4930.000,36.000,680,13,0,1
81,370.646,773.633,6181.000,2253.000,491.000,886.000,8.000,370.625,773.625,22550.000,4874.000,36.000,680,13,0,1
82,370.622,773.614,6186.000,2282.000,488.000,917.000,8.000,370.625,773.625,22642.000,5074.000,36.000,680,13,0,1
83,370.791,773.510,5400.000,1970.000,490.000,859.000,7.000,370.786,773.500,22609.000,4969.000,36.000,680,13,0,1
84,370.628,773.604,6284.000,2340.000,493.000,874.000,8.000,370.625,773.625,22523.000,4775.000,36.000,680,13,0,1
85,370.641,773.633,6065.000,2121.000,493.000,852.000,8.000,370.625,773.625,22481.000,4733.000,36.000,680,13,0,1
86,370.781,773.491,5389.000,1938.000,493.000,835.000,7.000,370.786,773.500,22562.000,4814.000,36.000,680,13,0,1
87,370.652,773.631,6142.000,2214.000,491.000,874.000,8.000,370.625,773.625,22497.000,4821.000,36.000,680,13,0,1
88,370.514,773.506,6792.000,2364.000,492.000,855.000,9.000,370.500,773.500,22366.000,4654.000,36.000,680,13,0,1
89,370.627,773.629,6102.000,2150.000,494.000,846.000,8.000,370.625,773.625,22327.000,4543.000,36.000,680,13,0,1
90,370.670,773.344,4726.000,1786.000,490.000,883.000,6.000,370.667,773.333,22520.000,4880.000,36.000,680,13,0,1
91,370.621,773.618,6074.000,2130.000,493.000,911.000,8.000,370.625,773.625,22445.000,4697.000,36.000,680,13,0,1
92,370.827,773.692,6842.000,2405.000,493.000,900.000,9.000,370.833,773.722,22729.000,4981.000,36.000,680,13,0,1
93,370.907,773.634,5426.000,1996.000,490.000,927.000,7.000,370.929,773.643,22735.000,5095.000,36.000,680,13,0,1
94,370.792,773.504,5262.000,1797.000,495.000,808.000,7.000,370.786,773.500,22229.000,4409.000,36.000,680,13,0,1
95,370.633,773.615,6244.000,2308.000,492.000,866.000,8.000,370.625,773.625,22622.000,4910.000,36.000,680,13,0,1
96,370.967,773.502,6338.000,2386.000,494.000,919.000,8.000,371.000,773.500,22869.000,5085.000,36.000,680,13,0,1
97,370.631,773.390,5981.000,2037.000,493.000,897.000,8.000,370.625,773.375,22334.000,4586.000,36.000,680,13,0,1
98,370.659,773.615,6256.000,2304.000,494.000,894.000,8.000,370.625,773.625,22475.000,4691.000,36.000,680,13,0,1
99,370.743,773.507,6105.000,2169.000,492.000,880.000,8.000,370.750,773.500,22643.000,4931.000,36.000,680,13,0,1
100,370.636,773.376,6156.000,2172.000,498.000,892.000,8.000,370.625,773.375,22485.000,4557.000,36.000,680,13,0,1
101,370.509,773.489,6971.000,2507.000,496.000,861.000,9.000,370.500,773.500,22668.000,4812.000,36.000,680,13,0,1
102,370.492,773.493,6904.000,2449.000,495.000,880.000,9.000,370.500,773.500,22679.000,4859.000,36.000,680,13,0,1
103,370.485,773.471,6828.000,2373.000,495.000,855.000,9.000,370.500,773.500,22550.000,4730.000,36.000,680,13,0,1
104,370.514,773.486,6646.000,2200.000,494.000,849.000,9.000,370.500,773.500,22350.000,4566.000,36.000,680,13,0,1
105,370.521,773.495,6810.000,2382.000,492.000,870.000,9.000,370.500,773.500,22567.000,4855.000,36.000,680,13,0,1
106,370.634,773.612,6083.000,2147.000,492.000,817.000,8.000,370.625,773.625,22552.000,4840.000,36.000,680,13,0,1
107,370.634,773.623,6026.000,2082.000,493.000,847.000,8.000,370.625,773.625,22378.000,4630.000,36.000,680,13,0,1
108,370.836,773.398,6804.000,2331.000,497.000,851.000,9.000,370.833,773.389,22514.000,4622.000,36.000,680,13,0,1
109,370.529,773.481,5373.000,1922.000,493.000,868.000,7.000,370.500,773.500,22281.000,4533.000,36.000,680,13,0,1
110,370.636,773.611,5981.000,2053.000,491.000,814.000,8.000,370.625,773.625,22414.000,4738.000,36.000,680,13,0,1
111,370.505,773.250,5397.000,1960.000,491.000,851.000,7.000,370.500,773.214,22513.000,4837.000,36.000,680,13,0,1
112,370.543,773.233,5397.000,1939.000,494.000,842.000,7.000,370.500,773.214,22409.000,4625.000,36.000,680,13,0,1
113,370.619,773.389,6030.000,2118.000,489.000,857.000,8.000,370.625,773.375,22297.000,4693.000,36.000,680,13,0,1
114,370.511,773.503,6652.000,2233.000,491.000,869.000,9.000,370.500,773.500,22199.000,4523.000,36.000,680,13,0,1
115,370.649,773.605,6158.000,2254.000,488.000,807.000,8.000,370.625,773.625,22576.000,5008.000,36.000,680,13,0,1
116,370.512,773.475,5344.000,1921.000,489.000,869.000,7.000,370.500,773.500,22475.000,4871.000,36.000,680,13,0,1
117,370.510,773.482,6872.000,2471.000,489.000,860.000,9.000,370.500,773.500,22769.000,5165.000,36.000,680,13,0,1
118,370.833,773.382,6831.000,2403.000,492.000,853.000,9.000,370.833,773.389,22529.000,4817.000,36.000,680,13,0,1
119,370.787,773.487,5464.000,2027.000,491.000,880.000,7.000,370.786,773.500,22559.000,4883.000,36.000,680,13,0,1
